detector,feature,auroc_with,auroc_without,delta,n_with,n_without
LOF,cls_mean,0.7198989400698821,0.748365063642603,-0.028466123572720936,32,32
LOF,cls_max,0.71764444375117,0.7506195599613152,-0.03297511621014526,32,32
LOF,cls_std,0.7105421710238973,0.757721832688588,-0.047179661664690675,32,32
LOF,head_entropy,0.7330422880139764,0.7352217156985087,-0.0021794276845322758,32,32
LOF,diag_mean,0.7493243822923816,0.7189396214201035,0.03038476087227815,32,32
LOF,cls_token_raw,0.9372621201722094,0.7309077142639256,0.2063544059082838,1,63
LOF,cls_token_pca,0.8656388438260436,0.6026251598864416,0.263013683939602,32,32
DeepSVDD,cls_mean,0.5385024099956324,0.5690052983506999,-0.030502888355067537,32,32
DeepSVDD,cls_max,0.553215537322435,0.5542921710238973,-0.0010766337014622707,32,32
DeepSVDD,cls_std,0.5467628845073937,0.5607448238389385,-0.01398193933154479,32,32
DeepSVDD,head_entropy,0.550890684469957,0.5566170238763752,-0.005726339406418202,32,32
DeepSVDD,diag_mean,0.5545934204779435,0.5529142878683888,0.0016791326095546566,32,32
DeepSVDD,cls_token_raw,0.6210457353216449,0.5526857290755712,0.06836000624607363,1,63
DeepSVDD,cls_token_pca,0.5856211393273851,0.5218865690189471,0.06373457030843799,32,32
ECOD,cls_mean,0.5946483863168404,0.6098566091595433,-0.015208222842702956,32,32
ECOD,cls_max,0.5937967960316965,0.6107081994446871,-0.016911403412990578,32,32
ECOD,cls_std,0.5841694874274662,0.6203355080489176,-0.036166020621451356,32,32
ECOD,head_entropy,0.5870991139951331,0.6174058814812504,-0.03030676748611727,32,32
ECOD,diag_mean,0.5918810834841206,0.6126239119922631,-0.020742828508142463,32,32
ECOD,cls_token_raw,0.730174081237911,0.6002219964127995,0.12995208482511156,1,63
ECOD,cls_token_pca,0.7168294128657889,0.4876755826105946,0.2291538302551943,32,32
IForest,cls_mean,0.6593159525072274,0.6601070979180965,-0.0007911454108691096,32,32
IForest,cls_max,0.6534204649445727,0.6660025854807513,-0.012582120536178576,32,32
IForest,cls_std,0.6454482409891641,0.6739748094361598,-0.028526568446995748,32,32
IForest,head_entropy,0.651130709115867,0.668292341309457,-0.017161632193590015,32,32
IForest,diag_mean,0.6527276236975105,0.6666954267278136,-0.013967803030303094,32,32
IForest,cls_token_raw,0.7491316736340758,0.6582921577774014,0.09083951585667449,1,63
IForest,cls_token_pca,0.7398943319606498,0.5795287184646742,0.16036561349597556,32,32
SO-GAAL,cls_mean,0.443259811567979,0.43982371544892995,0.003436096119049048,32,32
SO-GAAL,cls_max,0.45921482108317213,0.4238687059337368,0.03534611514943531,32,32
SO-GAAL,cls_std,0.4579742387845511,0.42510928823235794,0.032864950552193184,32,32
SO-GAAL,head_entropy,0.47583862388469456,0.40724490313221434,0.06859372075248021,32,32
SO-GAAL,diag_mean,0.44187250421164287,0.44121102280526614,0.0006614814063767294,32,32
SO-GAAL,cls_token_raw,0.2854245959942597,0.44401981378645755,-0.15859521779219787,1,63
SO-GAAL,cls_token_pca,0.47376838694078743,0.4093151400761216,0.06445324686466586,32,32
AE,cls_mean,0.7045686900750816,0.7180097127763566,-0.013441022701275007,32,32
AE,cls_max,0.7001927736527942,0.722385629198644,-0.02219285554584982,32,32
AE,cls_std,0.6954777484869283,0.7271006543645099,-0.03162290587758154,32,32
AE,head_entropy,0.710561344397995,0.7120170584534431,-0.0014557140554480874,32,32
AE,diag_mean,0.7245572575445602,0.6980211453068781,0.026536112237682152,32,32
AE,cls_token_raw,0.8977142738295792,0.7083300732923244,0.1893842005372548,1,63
AE,cls_token_pca,0.8173411144734927,0.6052372883779455,0.21210382609554712,32,32
VAE,cls_mean,0.6627085023190034,0.6732364720471704,-0.010527969728167053,32,32
VAE,cls_max,0.6638150334851605,0.6721299408810133,-0.008314907395852833,32,32
VAE,cls_std,0.6541591273060043,0.6817858470601693,-0.027626719754164974,32,32
VAE,head_entropy,0.6582107212308397,0.6777342531353341,-0.019523531904494407,32,32
VAE,diag_mean,0.6705760851479794,0.6653688892181943,0.005207195929785136,32,32
VAE,cls_token_raw,0.7603627212412386,0.66650597553137,0.09385674570986857,1,63
VAE,cls_token_pca,0.7806804857948045,0.5552644885713691,0.22541599722343542,32,32
LUNAR,cls_mean,0.7621932910089224,0.7744723747426219,-0.012279083733699458,32,32
LUNAR,cls_max,0.7523529629687402,0.7843127027828041,-0.03195973981406386,32,32
LUNAR,cls_std,0.752737567854246,0.7839280978972983,-0.03119053004305239,32,32
LUNAR,head_entropy,0.7694861600736258,0.7671795056779185,0.0023066543957073193,32,32
LUNAR,diag_mean,0.7799626216696824,0.7567030440818618,0.0232595775878206,32,32
LUNAR,cls_token_raw,0.9436575778373995,0.7655499004160639,0.1781076774213356,1,63
LUNAR,cls_token_pca,0.8902418574904848,0.6464238082610594,0.2438180492294254,32,32
