dataset,detector,r_squared,adj_r_squared,n_obs
sms_spam,LOF,0.8538,0.8382,63
sms_spam,DeepSVDD,0.5387,0.4893,63
sms_spam,ECOD,0.865,0.8505,63
sms_spam,IForest,0.7786,0.7549,63
sms_spam,SO-GAAL,0.6208,0.5801,63
sms_spam,AE,0.7816,0.7582,63
sms_spam,VAE,0.8936,0.8822,63
sms_spam,LUNAR,0.8203,0.801,63
email_spam,LOF,0.2833,0.2065,63
email_spam,DeepSVDD,0.7525,0.726,63
email_spam,ECOD,0.9578,0.9533,63
email_spam,IForest,0.8141,0.7942,63
email_spam,SO-GAAL,0.8533,0.8375,63
email_spam,AE,0.584,0.5394,63
email_spam,VAE,0.8217,0.8025,63
email_spam,LUNAR,0.7847,0.7616,63
bbc,LOF,0.9279,0.9202,63
bbc,DeepSVDD,0.4329,0.3721,63
bbc,ECOD,0.9759,0.9733,63
bbc,IForest,0.917,0.9081,63
bbc,SO-GAAL,0.4027,0.3387,63
bbc,AE,0.9659,0.9622,63
bbc,VAE,0.9764,0.9739,63
bbc,LUNAR,0.9666,0.963,63
